----------- Loading graphs ------------
# vertices = 7
# edges = 7
# vertices = 4847571
# edges = 38566113
Load Graphs: 58205.1ms
------------ Preprocessing ------------
matching order: 
-vertex(backward neighbors)-
#0: 1-3(1)-2(1,3)-5(3)-0(5)-4(0)-6(1)
#1: 2-1(2)-3(1,2)-5(3)-0(5)-4(0)-6(1)
#2: 2-3(2)-1(2,3)-5(3)-0(5)-4(0)-6(1)
#3: 5-3(5)-1(3)-2(1,3)-0(5)-4(0)-6(1)
#4: 0-5(0)-3(5)-1(3)-2(1,3)-4(0)-6(1)
#5: 4-0(4)-5(0)-3(5)-1(3)-2(1,3)-6(1)
#6: 6-1(6)-3(1)-2(1,3)-5(3)-0(5)-4(0)

Preprocessing: 5.756ms
--------- Incremental Matching --------
auto_tuning off:0
use 8 threads for incresemental matching 
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=4 vv_size=1097 threads=8
[PFM2] order=6 vv_size=253 threads=8
[PFM2] order=5 vv_size=5897 threads=8
[PFM2] order=5 vv_size=2130 threads=8
[PFM2] order=4 vv_size=191 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=6 vv_size=110 threads=8
[PFM2] order=1 vv_size=144 threads=8
[PFM2] order=4 vv_size=350 threads=8
[PFM2] order=6 vv_size=22 threads=8
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=3 vv_size=8649 threads=8
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=1 vv_size=31 threads=8
[PFM2] order=3 vv_size=13 threads=8
[PFM2] order=4 vv_size=551 threads=8
[PFM2] order=3 vv_size=39 threads=8
[PFM2] order=6 vv_size=9 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=3 vv_size=0 threads=1
[PFM2] order=3 vv_size=52 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=3 vv_size=778 threads=8
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=6 vv_size=191 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=3 vv_size=29 threads=8
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=3 vv_size=1098 threads=8
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=3 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=3 vv_size=0 threads=1
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=3 vv_size=41 threads=8
[PFM2] order=6 vv_size=26 threads=8
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=4 vv_size=89 threads=8
[PFM2] order=6 vv_size=237 threads=8
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=6 vv_size=1780 threads=8
[PFM2] order=4 vv_size=1411 threads=8
[PFM2] order=3 vv_size=68 threads=8
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=2 vv_size=104 threads=8
[PFM2] order=5 vv_size=16 threads=8
[PFM2] order=5 vv_size=0 threads=1
