----------- Loading graphs ------------
# vertices = 7
# edges = 7
# vertices = 4847571
# edges = 38566113
Load Graphs: 40008.8ms
------------ Preprocessing ------------
matching order: 
-vertex(backward neighbors)-
#0: 0-3(0)-1(0,3)-2(0)-5(3)-4(2)-6(5)
#1: 1-0(1)-3(0,1)-2(0)-5(3)-4(2)-6(5)
#2: 1-3(1)-0(1,3)-2(0)-5(3)-4(2)-6(5)
#3: 2-0(2)-3(0)-1(0,3)-5(3)-4(2)-6(5)
#4: 5-3(5)-0(3)-1(0,3)-2(0)-4(2)-6(5)
#5: 4-2(4)-0(2)-3(0)-1(0,3)-5(3)-6(5)
#6: 6-5(6)-3(5)-0(3)-1(0,3)-2(0)-4(2)

Preprocessing: 4.617ms
--------- Incremental Matching --------
auto_tuning off:0
use 8 threads for incresemental matching 
[PFM2] order=2 vv_size=5366 threads=8
[PFM2] order=5 vv_size=9113 threads=8
[PFM2] order=4 vv_size=775 threads=8
[PFM2] order=3 vv_size=11 threads=8
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=5 vv_size=236 threads=8
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=2 vv_size=121 threads=8
[PFM2] order=3 vv_size=85 threads=8
[PFM2] order=6 vv_size=1458 threads=8
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=4 vv_size=134 threads=8
[PFM2] order=2 vv_size=379 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=6 vv_size=70 threads=8
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=1 vv_size=19 threads=8
[PFM2] order=6 vv_size=5270 threads=8
[PFM2] order=1 vv_size=75 threads=8
[PFM2] order=3 vv_size=139 threads=8
[PFM2] order=4 vv_size=88 threads=8
[PFM2] order=3 vv_size=4 threads=4
[PFM2] order=2 vv_size=392 threads=8
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=6 vv_size=5 threads=5
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=5 vv_size=126 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=5 vv_size=217 threads=8
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=6 vv_size=108 threads=8
[PFM2] order=1 vv_size=0 threads=1
[PFM2] order=4 vv_size=6232 threads=8
[PFM2] order=1 vv_size=109 threads=8
[PFM2] order=5 vv_size=284 threads=8
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=3 vv_size=48 threads=8
[PFM2] order=4 vv_size=0 threads=1
[PFM2] order=6 vv_size=7047 threads=8
[PFM2] order=3 vv_size=38 threads=8
[PFM2] order=0 vv_size=0 threads=1
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=3 vv_size=18 threads=8
[PFM2] order=3 vv_size=425 threads=8
[PFM2] order=4 vv_size=300 threads=8
[PFM2] order=2 vv_size=0 threads=1
[PFM2] order=3 vv_size=3294 threads=8
[PFM2] order=5 vv_size=0 threads=1
[PFM2] order=5 vv_size=32 threads=8
[PFM2] order=0 vv_size=513 threads=8
[PFM2] order=2 vv_size=10 threads=8
[PFM2] order=6 vv_size=1702 threads=8
[PFM2] order=3 vv_size=24 threads=8
[PFM2] order=3 vv_size=14 threads=8
[PFM2] order=6 vv_size=0 threads=1
[PFM2] order=1 vv_size=0 threads=1
